Item,BadAvgCost,ProposedCost,Note
SOP36922-000,1040.9200,1040.9200,use last receipt cost
21018T2,1035.0000,788.2671,use last receipt cost
SOC94889-003,1033.5000,1033.5000,use last receipt cost
D25773K,1033.3100,1033.3100,use last receipt cost
48-22-8562,1029.0000,1029.0000,use last receipt cost
CGPS2200,1024.0000,1024.0000,use last receipt cost
2816P1PS,1022.5373,625.9780,use last receipt cost
2123-21HD,1022.0000,1149.0000,use last receipt cost
SOC81187-002,1021.1700,1021.1700,use last receipt cost
SOC26830-000,1017.6200,1017.6200,use last receipt cost
SOP27916-001,1016.6000,1016.6000,use last receipt cost
SOC36108-001,1016.6000,1016.6000,use last receipt cost
10200962,1015.3300,1015.3300,use last receipt cost
SO331721-000,1014.6900,1014.6900,use last receipt cost
MNC85131-000,1013.8100,1013.8100,use last receipt cost
12740569,1013.0900,1013.0900,use last receipt cost
17105289,1012.2500,1012.2500,use last receipt cost
17105297,1012.2500,1012.2500,use last receipt cost
SOP01342-000,1012.0000,1007.0000,use last receipt cost
2823-22HD,1009.5500,1099.0000,use last receipt cost
21020T2,1006.0060,1006.0060,use last receipt cost
10203974,1005.1600,1005.1600,use last receipt cost
SOC46765-012,1005.0000,1005.0000,use last receipt cost
716TECH,1001.0000,1001.0000,use last receipt cost
SOP09871-000,574.0500,47.4400,use last receipt cost
SOP40253-000,408.2891,94.8700,use last receipt cost
HWPRO4100SA,199.9900,55.3700,use last receipt cost
4007518,189.9900,46.0800,use last receipt cost
SOC54058-001,121.3415,17.5300,use last receipt cost
6390-21,112.6600,12.2000,use last receipt cost
DCB606,103.4817,.0100,use last receipt cost
DWX723,92.9975,.0100,use last receipt cost
REV620100W,81.3300,26.5000,use last receipt cost
158PCDW,65.3100,12.0000,use last receipt cost
138PCDW,65.3100,12.0000,use last receipt cost
48-11-1850,63.6060,.0100,use last receipt cost
DCG412B,54.7943,.0100,use last receipt cost
8HGSTHS1,54.7818,3.5000,use last receipt cost
400241,49.7300,9.9800,use last receipt cost
HW9100LWE,46.4400,8.3800,use last receipt cost
14076,46.3233,2.6000,use last receipt cost
212EGRFGBK,44.1200,9.4700,use last receipt cost
T62075003,44.1100,2.2980,use last receipt cost
EM105.9,43.8600,12.2000,use last receipt cost
11983A,41.5100,3.4600,use last receipt cost
16F1,35.1291,2.4400,use last receipt cost
MF09572,30.1400,.0592,use last receipt cost
MF09584,29.8200,.0616,use last receipt cost
MF09570,29.7778,.0782,use last receipt cost
MF09576,29.7350,.0856,use last receipt cost
MF52571,29.0110,4.5130,use last receipt cost
GRPROLK42B,26.1700,5.7300,use last receipt cost
19925031,25.9700,.0260,use last receipt cost
1341426,18.0000,.1846,use last receipt cost
SKH1724R,15.3100,1.0900,use last receipt cost
SKH2320R,15.1800,.6200,use last receipt cost
6HGSTHS1,14.7750,3.5000,use last receipt cost
26156208,13.2600,3.9900,use last receipt cost
037103341204,12.2800,1.2900,use last receipt cost
1342410,12.0000,2.0000,use last receipt cost
1342432,12.0000,3.3334,use last receipt cost
11342448,12.0000,3.3334,use last receipt cost
134246,12.0000,3.3334,use last receipt cost
433142,10.0600,2.9700,use last receipt cost
PC716,10.0200,.0590,use last receipt cost
HCBG01T,9.9471,2.1400,use last receipt cost
1341810,9.0000,2.0000,use last receipt cost
1341820,9.0000,1.0000,use last receipt cost
1341812,9.0000,1.6667,use last receipt cost
1341822,9.0000,.9091,use last receipt cost
1341814,9.0000,1.4286,use last receipt cost
1341824,9.0000,.8333,use last receipt cost
1341816,9.0000,1.2500,use last receipt cost
1341826,9.0000,.7692,use last receipt cost
1341818,9.0000,1.1111,use last receipt cost
1341828,9.0000,.7143,use last receipt cost
134188,9.0000,2.5000,use last receipt cost
1341830,9.0000,.6667,use last receipt cost
1341834,9.0000,.5882,use last receipt cost
1341836,9.0000,.5556,use last receipt cost
1341838,9.0000,.5263,use last receipt cost
1341840,9.0000,.5000,use last receipt cost
1341842,9.0000,.4762,use last receipt cost
1341844,9.0000,.4545,use last receipt cost
1341846,9.0000,.4348,use last receipt cost
MF01305,8.6887,.2362,use last receipt cost
14030936,8.4430,2.8000,use last receipt cost
13411788,8.0400,.1988,use last receipt cost
134117826,8.0400,.0612,use last receipt cost
08605511,7.7910,2.1800,use last receipt cost
1341416,6.7500,.3000,use last receipt cost
1341430,6.7500,.1600,use last receipt cost
1341434,6.7500,.1412,use last receipt cost
1341438,6.7500,.1263,use last receipt cost
1341440,6.7500,.1200,use last receipt cost
1341442,6.7500,.1143,use last receipt cost
1341444,6.7500,.1091,use last receipt cost
1341446,6.7500,.1043,use last receipt cost
13491212,6.4400,.3230,use last receipt cost
13491238,6.4400,.0850,use last receipt cost
13491216,6.4400,.2019,use last receipt cost
13491240,6.4400,.0808,use last receipt cost
13491222,6.4400,.1468,use last receipt cost
13491242,6.4400,.0769,use last receipt cost
13491224,6.4400,.1346,use last receipt cost
13491244,6.4400,.0734,use last receipt cost
13491226,6.4400,.1242,use last receipt cost
13491246,6.4400,.0702,use last receipt cost
13491228,6.4400,.1154,use last receipt cost
13491248,6.4400,.0673,use last receipt cost
13491230,6.4400,.1077,use last receipt cost
1349126,6.4400,.5383,use last receipt cost
13491234,6.4400,.0950,use last receipt cost
1349128,6.4400,.4038,use last receipt cost
1341848,6.0000,.4167,use last receipt cost
1178NI80 (30),6.0000,1.5500,use last receipt cost
1178NI80 (32),6.0000,1.5500,use last receipt cost
1178NI80 (34),6.0000,1.5500,use last receipt cost
134117830,5.7500,.0530,use last receipt cost
134117838,5.7500,.0418,use last receipt cost
134117842,5.7500,.0379,use last receipt cost
134117846,5.7500,.0346,use last receipt cost
13411786,5.7500,.2650,use last receipt cost
134117816,5.7500,.0994,use last receipt cost
134117822,5.7500,.1950,use last receipt cost
10817575,5.4550,1.3500,use last receipt cost
MF51976,4.9437,1.4140,use last receipt cost
22000251,4.5743,.4900,use last receipt cost
303532,4.5300,.0453,use last receipt cost
523568,4.5300,.0453,use last receipt cost
860783,4.5300,.0453,use last receipt cost
6483,4.5300,.0453,use last receipt cost
303537,4.5300,.0453,use last receipt cost
200542,4.5300,.0453,use last receipt cost
303539,4.5300,.0453,use last receipt cost
212660,4.5300,.0453,use last receipt cost
303544,4.5300,.0453,use last receipt cost
269453,4.5300,.0453,use last receipt cost
303551,4.5300,.0453,use last receipt cost
170712,4.5300,.0453,use last receipt cost
172846,4.5300,.0453,use last receipt cost
435217,4.5300,.0453,use last receipt cost
198908,4.5300,.0453,use last receipt cost
6709,4.5300,.0453,use last receipt cost
6710,4.5300,.0453,use last receipt cost
037103336682,3.9900,1.0200,use last receipt cost
MF66006,3.9325,1.1650,use last receipt cost
MF36345,3.8430,.7260,use last receipt cost
29126,3.6667,.2650,use last receipt cost
10528495,3.0553,.2000,use last receipt cost
211786,3.0300,.2650,use last receipt cost
21434,2.9500,.0497,use last receipt cost
21420,2.9500,.0845,use last receipt cost
21438,2.9500,.0445,use last receipt cost
21424,2.9500,.0704,use last receipt cost
21442,2.9500,.0402,use last receipt cost
21426,2.9500,.0650,use last receipt cost
21446,2.9500,.0367,use last receipt cost
21430,2.9500,.0563,use last receipt cost
21448,2.9500,.0352,use last receipt cost
10528198,2.9167,.5100,use last receipt cost
2117846,2.8000,.0346,use last receipt cost
29128,2.7500,.1988,use last receipt cost
MF66224,2.7228,.2955,use last receipt cost
10817609,2.4244,.6000,use last receipt cost
15920523,2.4200,.7100,use last receipt cost
2117810,2.3700,.1590,use last receipt cost
2117812,2.3700,.1325,use last receipt cost
2117814,2.3700,.1136,use last receipt cost
2117816,2.3700,.0994,use last receipt cost
2117818,2.3700,.0883,use last receipt cost
2117842,2.3700,.0379,use last receipt cost
211788,2.3700,.1988,use last receipt cost
291246,2.2000,.0346,use last receipt cost
291218,2.2000,.0883,use last receipt cost
291226,2.2000,.0612,use last receipt cost
291242,2.2000,.0379,use last receipt cost
291210,2.2000,.1590,use last receipt cost
H14,2.0178,.3900,use last receipt cost
10817591,1.9800,.4900,use last receipt cost
MF52005,1.8618,.1128,use last receipt cost
291212,1.8333,.1325,use last receipt cost
MFA70441,1.7200,.5600,use last receipt cost
MF933083,1.7029,.4600,use last receipt cost
MF09143,1.7001,.2080,use last receipt cost
EC700,1.5346,.1088,use last receipt cost
15760978,1.3830,.3900,use last receipt cost
MFA70320,1.2306,.3700,use last receipt cost
MF55543,1.2017,.3200,use last receipt cost
14204333,1.0000,.0600,use last receipt cost
EC887,.9593,.1129,use last receipt cost
15922990,.9327,.1900,use last receipt cost
MF56267,.6491,.1618,use last receipt cost
