Item,BadAvgCost,ProposedCost,Note
MFA71458,2176.9700,2176.9700,use last receipt cost
2871-22,2173.5000,2859.0000,use last receipt cost
DCE700X2K,2151.8800,2151.8800,use last receipt cost
MNW02054-000,2150.0000,2150.0000,use last receipt cost
MNW00681-000,2150.0000,2150.0000,use last receipt cost
MNW00785-000,2150.0000,2150.0000,use last receipt cost
MNW02051-000,2150.0000,2150.0000,use last receipt cost
SOC46765-004,2147.5000,2147.5000,use last receipt cost
2818A-21,2144.5000,2599.0000,use last receipt cost
DCE200M2,2135.8300,2135.8300,use last receipt cost
SOP38920-000,2132.7100,2132.7100,use last receipt cost
DCE201K,2127.5300,2127.5300,use last receipt cost
5412TP,2085.0000,5.7000,use last receipt cost
MXF002-2XC,2073.5000,2299.0000,use last receipt cost
MNC82541-000,2072.8400,2072.8400,use last receipt cost
SOC46765-016,2071.0000,2071.0000,use last receipt cost
12430237,2065.9400,2065.9400,use last receipt cost
MNC02155-000,2015.0300,2015.0300,use last receipt cost
17123845,2005.6600,2005.6600,use last receipt cost
MFA71721,1999.0000,1999.0000,use last receipt cost
SO309458-000,1993.5500,1993.5500,use last receipt cost
SOC80479-001,1992.9000,1992.9000,use last receipt cost
SOC80479-000,1992.5000,1992.5000,use last receipt cost
17122250,1991.1700,1991.1700,use last receipt cost
DW080LGSK,1981.1900,1981.1900,use last receipt cost
SOC82678-001,1963.1300,1963.1300,use last receipt cost
2818B-21,1963.0000,2379.0000,use last receipt cost
2678-22,1950.5000,2499.9900,use last receipt cost
2678-22BG,1950.5000,2499.9900,use last receipt cost
2678-22K,1950.5000,2499.9900,use last receipt cost
2678-22O,1950.5000,2499.9900,use last receipt cost
2977-22BG,1950.5000,2499.9900,use last receipt cost
2977-22O,1950.5000,2499.9900,use last receipt cost
2978-22,1950.5000,2499.9900,use last receipt cost
2978-22BG,1950.5000,2499.9900,use last receipt cost
2978-22K,1950.5000,2499.9900,use last receipt cost
2978-22O,1950.5000,2499.9900,use last receipt cost
49-16-2662R,1950.0000,2339.9900,use last receipt cost
2473-22,1937.0000,2259.0000,use last receipt cost
SOP30806-000,1936.8300,1926.8300,use last receipt cost
10200301,1936.4600,1936.4600,use last receipt cost
2870-22,1936.0000,2199.9900,use last receipt cost
SOC15850-002,1934.1800,1934.1800,use last receipt cost
SOP15606-000,1934.1800,1934.1800,use last receipt cost
DCD1623B,1928.7600,1928.7600,use last receipt cost
33700808,1928.4700,1787.1600,use last receipt cost
2128P2,1911.0000,323.3333,use last receipt cost
17123746,1910.2700,1910.2700,use last receipt cost
MNC81998-000,1900.1500,1900.1500,use last receipt cost
MNC77492-000,1881.3700,1881.3700,use last receipt cost
DW080LGS,1874.6700,1874.6700,use last receipt cost
SOC46719-000,1872.6500,1872.6500,use last receipt cost
SOP32522-000,1872.6500,1872.6500,use last receipt cost
MXF370-2XC,1869.0000,2199.0000,use last receipt cost
12431789,1856.2700,1856.2700,use last receipt cost
SF95100,1850.0000,1850.0000,use last receipt cost
SOC46765-007,1842.0000,1842.0000,use last receipt cost
12CD,1841.9375,720.0000,use last receipt cost
17122227,1836.6100,1836.6100,use last receipt cost
DFA650T,1820.0000,1820.0000,use last receipt cost
17123019,1800.5800,1800.5800,use last receipt cost
248MSR,1800.0000,618.6321,use last receipt cost
MFB91771,1799.0000,1799.0000,use last receipt cost
SOC46765-017,1791.0000,1791.0000,use last receipt cost
SOC46765-001,1791.0000,1791.0000,use last receipt cost
D25980K,1786.2500,1786.2500,use last receipt cost
CGWF4000,1780.0000,1780.0000,use last receipt cost
RMT-1500-2P,1774.5150,1773.0900,use last receipt cost
SOP26144-000,1772.2800,1772.2800,use last receipt cost
10200228,1757.9400,1757.9400,use last receipt cost
10201101,1754.9400,1754.9400,use last receipt cost
21016MSR,1754.3842,1754.3844,use last receipt cost
21218P2,1750.0000,1475.0000,use last receipt cost
RMT-1500-2,1749.5800,.0000,NO LAST COST - manual
SOC82678-003,1745.3633,1745.3633,use last receipt cost
SOC82678-005,1745.3633,1745.3633,use last receipt cost
MNC84910-000,1738.9500,1738.9500,use last receipt cost
SOC85074-000,1734.5850,1734.5850,use last receipt cost
SOC77195-003,1731.0400,1705.4600,use last receipt cost
SOC46765-003,1726.5000,1726.5000,use last receipt cost
2695-15R,1719.0000,1999.0000,use last receipt cost
17122235,1717.0700,1717.0700,use last receipt cost
MNC85161-000,1712.1200,1712.1200,use last receipt cost
MNC55016-000,1708.1400,1708.1400,use last receipt cost
SOC32691-000,1704.8300,1693.8300,use last receipt cost
RMT-1500-1P,1703.1400,1701.9500,use last receipt cost
DW079LGTR,1701.3400,1701.3400,use last receipt cost
1/1/4208 12:00:0,1699.0000,1699.0000,use last receipt cost
2818-21,1699.0000,2059.0000,use last receipt cost
2676-23,1697.5000,2149.9900,use last receipt cost
49-16-2661M,1693.5000,2029.9900,use last receipt cost
RMT-1500-1,1678.4400,.0000,NO LAST COST - manual
DW079LGK,1673.6700,1673.6700,use last receipt cost
SOC88839-000,1673.0000,1673.0000,use last receipt cost
SOC88164-000,1673.0000,1673.0000,use last receipt cost
10200772,1667.6000,1667.6000,use last receipt cost
17120239,1664.7600,1664.7600,use last receipt cost
2978-20,1651.0000,1849.9900,use last receipt cost
2418MSR,1645.0000,1645.0000,use last receipt cost
DCE700X2,1644.7900,1644.7900,use last receipt cost
SOC46765-014,1644.5000,1644.5000,use last receipt cost
SOC91836-000,1643.2000,1643.2000,use last receipt cost
12742987,1642.2500,1642.2500,use last receipt cost
49-16-2691,1639.0000,1999.0000,use last receipt cost
MNC76410-000,1636.8600,1636.8600,use last receipt cost
DW080LRSK,1636.1100,1636.1100,use last receipt cost
6626T,1635.0000,21.4744,use last receipt cost
6628T,1635.0000,1607.1429,use last receipt cost
DW079LGT,1634.0300,1634.0300,use last receipt cost
SOP42140-000,1632.0000,1632.0000,use last receipt cost
10200483,1624.6100,1624.6100,use last receipt cost
DWB60X20SB,1603.0000,1603.0000,use last receipt cost
