Account|DocYYMM|SalesTax|Taxable|NonTax|Exempt
1000098|2311|20.4100|339.8400|.0000|.0000
1000135|2002|.0000|.0000|.0000|.0000
1000173|2604|1.1100|18.5200|.0000|.0000
1000176|2412|36.0900|601.5600|.0000|.0000
AUSTINOLD|2205|1286.1700|21436.0900|.0000|.0000
LOWELL|2208|59.9900|999.7200|.0000|.0000
|2604|.0000|.0000|.0000|.0000
1000232|2402|1.5400|25.8000|.0000|.0000
1000152|2310|4.6000|76.5700|.0000|.0000
IS-CASH|2506|1169.4500|19491.2600|750.0000|.0000
LOWELL|2206|890.4800|14841.2500|.0000|.0000
1000187|2105|7.1100|118.5100|.0000|.0000
1000120|2512|8.2600|137.6900|.0000|.0000
1000252|2503|.4600|7.5900|.0000|.0000
|2202|.0000|.0000|.0000|.0000
1000019|2402|174.9900|2916.5700|.0000|.0000
1000147|2403|12.0000|200.0000|.0000|.0000
1000260|2603|4.2600|71.1900|.0000|.0000
1000180|2311|3775.6400|62933.6900|.0000|6.3100
1000173|2208|14.9800|249.8000|.0000|.0000
1000147|2507|7.4900|124.7700|.0000|.0000
1000013|2412|4.5500|76.0100|.0000|.0000
1000232|2503|34.5600|575.9600|.0000|.0000
1000106|2502|45.3700|756.0800|7500.0000|.0000
1000039|2411|2.6000|43.2600|.0000|.0000
1000108|2103|1525.4100|25423.8200|.0000|.0000
1000089|2508|8.6900|144.8000|.0000|.0000
CASH|2012|341.3500|5688.9300|.0000|.0000
1000210|2107|104.4400|2878.0400|.0000|1137.4000
1000089|2207|12.7700|212.8200|.0000|.0000
1000280|2503|.5000|8.5500|.0000|.0000
JEWELHOMES|2011|344.5400|5742.2800|.0000|.0000
1000120|2006|60.1700|1002.7800|.0000|.0000
1000013|2406|4.9100|81.9700|.0000|.0000
1000187|2108|39.4800|658.0800|.0000|.0000
1000176|2407|2649.5700|44159.4100|.0000|.0000
1000198|2505|1.8100|30.1800|.0000|.0000
1000028|2401|4.4300|73.8700|-7.3900|.0000
1000106|2305|390.0600|6500.9200|.0000|.0000
1000147|2212|17.4400|290.6100|.0000|.0000
1000181|2310|153.0100|2550.2600|.0000|.0000
NPM LLC|2206|3487.0200|58117.1700|.0000|.0000
1000221|2503|2.2200|37.0100|.0000|.0000
BRYANHOWEY|2204|1.7600|29.3200|.0000|.0000
CALEBDAVIS|2203|2.8300|47.1200|.0000|.0000
1000037|2306|155.9600|2599.3900|445.5300|.0000
